transaction_date,transaction_barcode,warehouse_name,item_number,description,description2,combined_description,item_unit_price
2024-09-04,21133400900222409041045,BAYONNE,428409,GLD STR REN,SYSTEM USE ONLY,GLD STR REN SYSTEM USE ONLY,99.99
2024-09-04,21133400900222409041045,BAYONNE,1815057,"ACER 32""WQHD",GAMING MONITOR P20T10H2,"ACER 32""WQHD GAMING MONITOR P20T10H2",229.99
2024-09-04,21133400900222409041045,BAYONNE,336336,/1815057,,,0.0
2024-03-24,21133400700882403241054,BAYONNE,45579,CANDY HEART,1.36 KG / 3 LB,CANDY HEART 1.36 KG / 3 LB,7.99
2024-03-24,21133400700882403241054,BAYONNE,1259351,GULFSHRIMP,SHRIMP 2LBS T6H6 C16 P576,GULFSHRIMP SHRIMP 2LBS T6H6 C16 P576,17.99
2024-03-24,21133400700882403241054,BAYONNE,36886,ORGANIC GT,,,19.99
2024-03-24,21133400700882403241054,BAYONNE,21046,TOMATO MEDLE,,,6.59
2024-03-24,21133400700882403241054,BAYONNE,720,REYNLDS FOIL,SQ FT T180H2       P360,REYNLDS FOIL SQ FT T180H2       P360,23.99
2024-03-24,21133400700882403241054,BAYONNE,260509,POLYO STRCHZ,10/48Z P450 T9H5     SL45,POLYO STRCHZ 10/48Z P450 T9H5     SL45,11.49
2024-03-24,21133400700882403241054,BAYONNE,1150189,ORG SKINYPOP,T34H3 P102 SL110,ORG SKINYPOP T34H3 P102 SL110,6.99
2024-03-24,21133400700882403241054,BAYONNE,1794999,SCARLET,PILKEY/SCHOLASTIC/,SCARLET PILKEY/SCHOLASTIC/,9.49
2024-03-24,21133400700882403241054,BAYONNE,1796605,BK:SCARRY,SCARRY/RH/,BK:SCARRY SCARRY/RH/,12.99
2024-03-24,21133400700882403241054,BAYONNE,1136340,3LB ORG GALA,,,4.49
2024-03-24,21133400700882403241054,BAYONNE,1819181,FERREROEGGS,C8T14H3  P336  SL120,FERREROEGGS C8T14H3  P336  SL120,14.99
2024-03-24,21133400700882403241054,BAYONNE,325023,/1819181,,,0.0
2023-07-14,21133400900752307141120,BAYONNE,1358925,ARTCHK SSG,12-2/24 OZ   10T4H   SL70,ARTCHK SSG 12-2/24 OZ   10T4H   SL70,14.79
2023-07-14,21133400900752307141120,BAYONNE,1717853,HVY DTY SPNG,SCRUB SPONGE 24CT P=300,HVY DTY SPNG SCRUB SPONGE 24CT P=300,14.99
2023-07-14,21133400900752307141120,BAYONNE,18600,MANDARINS,2.27 KG / 5 LBS,MANDARINS 2.27 KG / 5 LBS,7.99
2023-07-14,21133400900752307141120,BAYONNE,568915,ORG CUCUMBER,,,5.99
2023-07-14,21133400900752307141120,BAYONNE,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.39
2023-07-14,21133400900752307141120,BAYONNE,1068083,ORG FR EGGS,GRADE A T20H18 P360 SL23,ORG FR EGGS GRADE A T20H18 P360 SL23,7.89
2023-07-14,21133400900752307141120,BAYONNE,797684,BURATTA,"#00123 SL24 T9H8","BURATTA #00123 SL24 T9H8",7.69
2023-07-14,21133400900752307141120,BAYONNE,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,3.99
2023-07-14,21133400900752307141120,BAYONNE,947880,HF NAT TRKEY,T6H4P216  SL30,HF NAT TRKEY T6H4P216  SL30,11.99
2023-07-14,21133400900752307141120,BAYONNE,756053,KS MED ROAST,GROUND COFFEE  SL365 P216,KS MED ROAST GROUND COFFEE  SL365 P216,13.69
2023-07-14,21133400900752307141120,BAYONNE,17368,STEELHEAD,FARM RAISED,STEELHEAD FARM RAISED,10.99
